"dteday","cnt"
"2011-01-20",13
"2011-01-20",5
"2011-01-20",2
"2011-01-20",1
"2011-01-20",1
"2011-01-20",6
"2011-01-20",35
"2011-01-20",101
"2011-01-20",249
"2011-01-20",143
"2011-01-20",57
"2011-01-20",68
"2011-01-20",84
"2011-01-20",98
"2011-01-20",81
"2011-01-20",70
"2011-01-20",91
"2011-01-20",215
"2011-01-20",185
"2011-01-20",152
"2011-01-20",126
"2011-01-20",57
"2011-01-20",56
"2011-01-20",31
"2011-01-21",21
"2011-01-21",6
"2011-01-21",2
"2011-01-21",1
"2011-01-21",1
"2011-01-21",5
"2011-01-21",27
"2011-01-21",68
"2011-01-21",217
"2011-01-21",166
"2011-01-21",63
"2011-01-21",59
"2011-01-21",78
"2011-01-21",73
"2011-01-21",62
"2011-01-21",65
"2011-01-21",97
"2011-01-21",161
"2011-01-21",120
"2011-01-21",96
"2011-01-21",53
"2011-01-21",41
"2011-01-21",34
"2011-01-21",27
"2011-01-22",13
"2011-01-22",12
"2011-01-22",11
"2011-01-22",7
"2011-01-22",3
"2011-01-22",2
"2011-01-22",8
"2011-01-22",27
"2011-01-22",40
"2011-01-22",53
"2011-01-22",63
"2011-01-22",70
"2011-01-22",84
"2011-01-22",75
"2011-01-22",103
"2011-01-22",83
"2011-01-22",67
"2011-01-22",54
"2011-01-22",59
"2011-01-22",45
"2011-01-22",39
"2011-01-22",30
"2011-01-22",33
"2011-01-23",22
"2011-01-23",13
"2011-01-23",18
"2011-01-23",5
"2011-01-23",3
"2011-01-23",1
"2011-01-23",2
"2011-01-23",19
"2011-01-23",28
"2011-01-23",58
"2011-01-23",99
"2011-01-23",116
"2011-01-23",87
"2011-01-23",110
"2011-01-23",77
"2011-01-23",65
"2011-01-23",55
"2011-01-23",49
"2011-01-23",50
"2011-01-23",35
"2011-01-23",25
"2011-01-23",28
"2011-01-23",21
"2011-01-24",7
"2011-01-24",1
"2011-01-24",1
"2011-01-24",1
"2011-01-24",5
"2011-01-24",15
"2011-01-24",84
"2011-01-24",177
"2011-01-24",102
"2011-01-24",40
"2011-01-24",46
"2011-01-24",63
"2011-01-24",60
"2011-01-24",45
"2011-01-24",57
"2011-01-24",70
"2011-01-24",184
"2011-01-24",153
"2011-01-24",106
"2011-01-24",81
"2011-01-24",59
"2011-01-24",35
"2011-01-24",24
"2011-01-25",9
"2011-01-25",5
"2011-01-25",2
"2011-01-25",1
"2011-01-25",9
"2011-01-25",36
"2011-01-25",108
"2011-01-25",238
"2011-01-25",144
"2011-01-25",55
"2011-01-25",61
"2011-01-25",106
"2011-01-25",93
"2011-01-25",68
"2011-01-25",84
"2011-01-25",116
"2011-01-25",222
"2011-01-25",225
"2011-01-25",146
"2011-01-25",119
"2011-01-25",45
"2011-01-25",53
"2011-01-25",40
"2011-01-26",17
"2011-01-26",5
"2011-01-26",10
"2011-01-26",1
"2011-01-26",8
"2011-01-26",30
"2011-01-26",72
"2011-01-26",58
"2011-01-26",28
"2011-01-26",41
"2011-01-26",48
"2011-01-26",47
"2011-01-26",36
"2011-01-26",43
"2011-01-26",36
"2011-01-26",26
"2011-01-27",24
"2011-01-27",84
"2011-01-27",104
"2011-01-27",79
"2011-01-27",59
"2011-01-27",38
"2011-01-27",27
"2011-01-27",16
"2011-01-28",9
"2011-01-28",3
"2011-01-28",2
"2011-01-28",1
"2011-01-28",4
"2011-01-28",16
"2011-01-28",60
"2011-01-28",157
"2011-01-28",101
"2011-01-28",49
"2011-01-28",30
"2011-01-28",29
"2011-01-28",31
"2011-01-28",38
"2011-01-28",41
"2011-01-28",80
"2011-01-28",149
"2011-01-28",109
"2011-01-28",89
"2011-01-28",62
"2011-01-28",58
"2011-01-28",26
"2011-01-28",23
"2011-01-29",28
"2011-01-29",20
"2011-01-29",15
"2011-01-29",8
"2011-01-29",3
"2011-01-29",2
"2011-01-29",5
"2011-01-29",34
"2011-01-29",34
"2011-01-29",55
"2011-01-29",64
"2011-01-29",78
"2011-01-29",65
"2011-01-29",99
"2011-01-29",120
"2011-01-29",107
"2011-01-29",91
"2011-01-29",68
"2011-01-29",58
"2011-01-29",43
"2011-01-29",36
"2011-01-29",32
"2011-01-29",33
"2011-01-30",33
"2011-01-30",29
"2011-01-30",11
"2011-01-30",8
"2011-01-30",1
"2011-01-30",3
"2011-01-30",3
"2011-01-30",12
"2011-01-30",38
"2011-01-30",64
"2011-01-30",59
"2011-01-30",97
"2011-01-30",84
"2011-01-30",122
"2011-01-30",109
"2011-01-30",123
"2011-01-30",77
"2011-01-30",65
"2011-01-30",55
"2011-01-30",33
"2011-01-30",28
"2011-01-30",21
"2011-01-30",21
"2011-01-31",7
"2011-01-31",7
"2011-01-31",1
"2011-01-31",2
"2011-01-31",2
"2011-01-31",8
"2011-01-31",37
